transaction_id,customer_id,account_id,date,amount,transaction_type,category,merchant,payment_method,location
T00000075,C100000,A200001,2026-07-20,333.76,Debit,Entertainment,Netflix,UPI,Delhi
T00000076,C100000,A200001,2026-05-27,68.61,Debit,Shopping,Flipkart,Net Banking,Delhi
T00000077,C100000,A200001,2026-06-25,421.92,Debit,Investment,Groww,Cash,Delhi
T00000078,C100000,A200001,2026-07-04,811.55,Debit,Entertainment,Netflix,UPI,Delhi
T00000079,C100000,A200001,2026-03-07,229.25,Debit,Shopping,Amazon,NEFT,Delhi
T00000080,C100000,A200001,2026-05-19,406.31,Debit,Travel,MakeMyTrip,Cash,Delhi
T00000081,C100000,A200001,2026-03-07,181.68,Debit,Transfer,P2P Transfer,Cash,Delhi
T00000082,C100000,A200001,2026-07-19,570.06,Debit,ATM,ATM Withdrawal,Debit Card,Delhi
T00000083,C100000,A200001,2026-04-22,1502.56,Debit,Shopping,Myntra,Credit Card,Delhi
T00000084,C100000,A200001,2026-07-14,28.54,Debit,ATM,ATM Withdrawal,Debit Card,Delhi
T00000085,C100000,A200001,2026-03-01,2472.75,Debit,Food,Swiggy,UPI,Delhi
T00000086,C100000,A200001,2026-07-21,416.8,Debit,Shopping,Myntra,Net Banking,Delhi
T00000087,C100000,A200001,2026-03-13,212.9,Debit,ATM,ATM Withdrawal,Credit Card,Delhi
T00000088,C100000,A200001,2026-04-17,156.01,Debit,ATM,ATM Withdrawal,NEFT,Delhi
T00000089,C100000,A200001,2026-05-12,890.7,Debit,Investment,Groww,Credit Card,Delhi
T00000090,C100000,A200001,2026-07-18,1229.21,Debit,Healthcare,Apollo Pharmacy,Debit Card,Delhi
T00000091,C100000,A200001,2026-03-10,182.28,Debit,Investment,SIP Auto-debit,Cash,Delhi
T00000092,C100000,A200001,2026-05-10,1074.45,Debit,Investment,Groww,Credit Card,Delhi
T00000093,C100000,A200001,2026-03-04,120.82,Debit,Food,Cafe Coffee Day,Cash,Delhi
T00000094,C100000,A200001,2026-06-05,410.94,Debit,Investment,SIP Auto-debit,Credit Card,Delhi
T00000095,C100000,A200001,2026-02-22,391.16,Debit,Investment,SIP Auto-debit,UPI,Delhi
T00000096,C100000,A200001,2026-02-18,613.42,Debit,Fuel,Indian Oil,UPI,Delhi
T00000097,C100000,A200001,2026-07-28,1151.98,Debit,Investment,Groww,UPI,Delhi
T00000098,C100000,A200001,2026-03-10,491.35,Debit,Investment,Groww,Credit Card,Delhi
T00000099,C100000,A200001,2026-03-23,770.12,Debit,Education,Coursera,Net Banking,Delhi
T00000100,C100000,A200001,2026-07-31,980.47,Debit,Bills,Airtel,Net Banking,Delhi
T00000101,C100000,A200001,2026-04-03,240.46,Debit,Fuel,HP Petrol Pump,Net Banking,Delhi
T00000102,C100000,A200001,2026-05-11,155.76,Debit,Entertainment,Netflix,Debit Card,Delhi
T00000103,C100000,A200001,2026-06-17,885.1,Debit,Food,Cafe Coffee Day,Cash,Delhi
T00000104,C100000,A200001,2026-07-23,356.51,Debit,Entertainment,Netflix,NEFT,Delhi
T00000105,C100000,A200001,2026-06-16,1753.8,Debit,Fuel,Indian Oil,Debit Card,Delhi
T00000106,C100000,A200001,2026-07-04,549.14,Debit,Transfer,P2P Transfer,NEFT,Delhi
T00000107,C100000,A200001,2026-02-26,88.31,Debit,ATM,ATM Withdrawal,Cash,Delhi
T00000108,C100000,A200001,2026-04-01,819.65,Debit,Transfer,P2P Transfer,Cash,Delhi
T00000109,C100000,A200001,2026-02-18,247.09,Debit,Rent,Landlord Transfer,Net Banking,Delhi
T00000110,C100000,A200001,2026-02-14,769.56,Debit,Fuel,Indian Oil,Net Banking,Delhi
T00000111,C100000,A200001,2026-04-18,506.98,Debit,Investment,Zerodha,Debit Card,Delhi
T00000112,C100000,A200001,2026-04-10,1615.33,Debit,ATM,ATM Withdrawal,Debit Card,Delhi
T00000113,C100000,A200001,2026-06-03,2003.24,Debit,ATM,ATM Withdrawal,Cash,Delhi
T00000114,C100000,A200001,2026-04-23,118.26,Debit,Shopping,Myntra,UPI,Delhi
T00000115,C100000,A200001,2026-04-14,469.06,Debit,Transfer,P2P Transfer,UPI,Delhi
T00000116,C100000,A200001,2026-05-22,204.28,Debit,Transfer,P2P Transfer,NEFT,Delhi
T00000117,C100000,A200001,2026-06-16,166.35,Debit,Shopping,Local Store,Net Banking,Delhi
T00000118,C100000,A200001,2026-07-16,509.52,Debit,Entertainment,Netflix,Cash,Delhi
T00000119,C100000,A200001,2026-07-01,405.85,Debit,Education,College Fee,Credit Card,Delhi
T00000120,C100000,A200001,2026-02-20,54.0,Debit,Education,College Fee,Net Banking,Delhi
T00000121,C100000,A200001,2026-03-30,168.01,Debit,Transfer,P2P Transfer,Debit Card,Delhi
T00000122,C100000,A200001,2026-07-30,203.79,Debit,Shopping,Amazon,Cash,Delhi
T00000123,C100000,A200001,2026-07-04,145.92,Debit,Fuel,Indian Oil,NEFT,Delhi
T00000124,C100000,A200001,2026-03-04,350.17,Debit,Fuel,HP Petrol Pump,Credit Card,Delhi
T00000125,C100000,A200001,2026-06-08,758.6,Debit,Entertainment,Spotify,Net Banking,Delhi
T00000126,C100000,A200001,2026-06-16,165.39,Debit,Shopping,Local Store,Net Banking,Delhi
T00000127,C100000,A200001,2026-07-15,1605.15,Debit,Shopping,Local Store,Cash,Delhi
T00000128,C100000,A200001,2026-03-25,341.4,Debit,Shopping,Myntra,UPI,Delhi
T00000129,C100000,A200001,2026-05-18,1314.25,Debit,Fuel,Indian Oil,NEFT,Delhi
T00000130,C100000,A200001,2026-02-06,293.36,Debit,ATM,ATM Withdrawal,NEFT,Delhi
T00000131,C100000,A200001,2026-03-04,836.98,Debit,Shopping,Myntra,Cash,Delhi
T00000132,C100000,A200001,2026-06-15,204.39,Debit,Shopping,Myntra,NEFT,Delhi
T00000133,C100000,A200001,2026-07-29,1355.26,Debit,Shopping,Flipkart,Net Banking,Delhi
T00000134,C100000,A200001,2026-02-15,429.04,Debit,Entertainment,Netflix,Debit Card,Delhi
T00000135,C100000,A200001,2026-02-08,61.33,Debit,Transfer,P2P Transfer,Net Banking,Delhi
T00000136,C100000,A200001,2026-06-25,871.96,Debit,Investment,SIP Auto-debit,Debit Card,Delhi
T00000137,C100000,A200001,2026-03-13,413.85,Debit,Investment,Groww,Net Banking,Delhi
T00000138,C100000,A200001,2026-04-18,1692.84,Debit,ATM,ATM Withdrawal,Net Banking,Delhi
T00000139,C100000,A200001,2026-05-23,367.97,Debit,Fuel,HP Petrol Pump,Cash,Delhi
T00000140,C100000,A200001,2026-04-16,114.47,Debit,ATM,ATM Withdrawal,Cash,Delhi
T00000141,C100000,A200001,2026-05-27,3859.13,Debit,Investment,Zerodha,Cash,Delhi
T00000142,C100000,A200001,2026-07-24,633.0,Debit,Investment,SIP Auto-debit,NEFT,Delhi
T00000143,C100000,A200001,2026-04-21,2451.74,Debit,Travel,Ola,NEFT,Delhi
T00000144,C100000,A200001,2026-07-28,445.4,Debit,Investment,SIP Auto-debit,Credit Card,Delhi
T00000145,C100000,A200001,2026-05-28,201.11,Debit,Shopping,Amazon,Net Banking,Delhi
T00000146,C100000,A200001,2026-03-20,338.4,Debit,ATM,ATM Withdrawal,NEFT,Delhi
T00000147,C100000,A200001,2026-02-24,811.37,Debit,Entertainment,BookMyShow,Credit Card,Delhi
T00000148,C100000,A200001,2026-07-12,682.04,Debit,Bills,Electricity Board,Net Banking,Delhi
T00000149,C100000,A200001,2026-04-22,45.4,Debit,ATM,ATM Withdrawal,UPI,Delhi
T00000150,C100000,A200001,2026-05-12,575.41,Debit,Investment,SIP Auto-debit,Debit Card,Delhi
T00000151,C100000,A200001,2026-07-03,73.2,Debit,ATM,ATM Withdrawal,NEFT,Delhi
T00000152,C100000,A200001,2026-05-25,92.61,Debit,Entertainment,PVR,Credit Card,Delhi
T00000153,C100000,A200001,2026-02-14,3878.32,Debit,Education,Coursera,UPI,Delhi
T00000154,C100000,A200001,2026-05-09,200.27,Debit,Transfer,P2P Transfer,Credit Card,Delhi
T00000155,C100000,A200001,2026-03-30,310.31,Debit,ATM,ATM Withdrawal,Debit Card,Delhi
T00000156,C100000,A200001,2026-04-15,772.24,Debit,Transfer,P2P Transfer,Credit Card,Delhi
T00000157,C100000,A200001,2026-02-25,204.74,Debit,Shopping,Local Store,Debit Card,Delhi
T00000158,C100000,A200001,2026-02-07,317.32,Debit,Investment,SIP Auto-debit,UPI,Delhi
T00000159,C100000,A200001,2026-07-01,234.68,Debit,Fuel,HP Petrol Pump,Net Banking,Delhi
T00000160,C100000,A200001,2026-07-04,84.89,Debit,Entertainment,BookMyShow,Cash,Delhi
T00000161,C100000,A200001,2026-02-27,1542.59,Debit,Fuel,HP Petrol Pump,Cash,Delhi
T00000162,C100000,A200001,2026-07-29,42.11,Debit,Shopping,Flipkart,Debit Card,Delhi
T00000163,C100000,A200001,2026-05-27,1513.67,Debit,ATM,ATM Withdrawal,Net Banking,Delhi
T00000164,C100000,A200001,2026-02-20,4414.11,Debit,Investment,Zerodha,Debit Card,Delhi
T00000165,C100000,A200001,2026-04-18,1623.05,Debit,Entertainment,Spotify,NEFT,Delhi
T00000166,C100000,A200001,2026-04-04,158.53,Debit,Entertainment,Spotify,Cash,Delhi
T00000167,C100000,A200001,2026-06-30,2415.86,Debit,Other,Misc Merchant,Cash,Delhi
T00000168,C100000,A200001,2026-04-06,495.95,Debit,Bills,Water Dept,UPI,Delhi
T00000169,C100000,A200001,2026-02-13,26.15,Debit,Fuel,Indian Oil,Net Banking,Delhi
T00000170,C100000,A200001,2026-05-14,443.63,Debit,Food,Swiggy,Credit Card,Delhi
T00000171,C100000,A200001,2026-07-18,523.12,Debit,Rent,Landlord Transfer,Debit Card,Delhi
T00000172,C100000,A200001,2026-05-04,2023.29,Debit,Rent,Landlord Transfer,Credit Card,Delhi
T00000173,C100000,A200001,2026-07-14,271.05,Debit,Fuel,HP Petrol Pump,Debit Card,Delhi
T00000174,C100000,A200001,2026-04-09,779.05,Debit,ATM,ATM Withdrawal,UPI,Delhi
T00000175,C100000,A200001,2026-03-21,1436.49,Debit,Fuel,Indian Oil,NEFT,Delhi
T00000176,C100000,A200001,2026-03-03,657.93,Debit,Investment,SIP Auto-debit,Credit Card,Delhi
T00000177,C100000,A200001,2026-02-13,637.53,Debit,Shopping,Flipkart,UPI,Delhi
T00000178,C100000,A200001,2026-04-04,1607.83,Debit,Shopping,Local Store,UPI,Delhi
T00000179,C100000,A200001,2026-03-04,1177.27,Debit,ATM,ATM Withdrawal,Net Banking,Delhi
T00000180,C100000,A200001,2026-07-05,305.75,Debit,Bills,Electricity Board,Credit Card,Delhi
T00000181,C100000,A200001,2026-06-11,1671.89,Debit,Transfer,P2P Transfer,Credit Card,Delhi
T00000182,C100000,A200001,2026-02-07,657.76,Debit,Bills,Water Dept,UPI,Delhi
T00000183,C100000,A200001,2026-05-31,241.47,Debit,Education,Coursera,Cash,Delhi
T00000184,C100000,A200001,2026-02-18,96.91,Debit,Shopping,Flipkart,Net Banking,Delhi
T00000185,C100000,A200001,2026-05-19,1202.02,Debit,Shopping,Amazon,Cash,Delhi
T00000186,C100000,A200001,2026-07-05,166.14,Debit,Education,Coursera,NEFT,Delhi
T00000187,C100000,A200001,2026-04-15,218.95,Debit,ATM,ATM Withdrawal,Debit Card,Delhi
T00000188,C100000,A200001,2026-07-02,1192.08,Debit,Food,Local Restaurant,NEFT,Delhi
T00000189,C100000,A200001,2026-06-26,564.74,Debit,Shopping,Local Store,Cash,Delhi
T00000190,C100000,A200001,2026-07-02,922.37,Debit,Investment,Zerodha,Debit Card,Delhi
T00000191,C100000,A200001,2026-05-06,442.28,Debit,Education,College Fee,NEFT,Delhi
T00000192,C100000,A200001,2026-04-05,1022.33,Debit,Education,Coursera,Credit Card,Delhi
T00000193,C100000,A200001,2026-05-06,20.0,Debit,Shopping,Amazon,Cash,Delhi
T00000194,C100000,A200001,2026-04-08,406.76,Debit,Entertainment,Netflix,NEFT,Delhi
T00000195,C100000,A200001,2026-07-04,255.19,Debit,Food,Cafe Coffee Day,Credit Card,Delhi
T00000196,C100000,A200001,2026-03-04,33.28,Debit,Shopping,Local Store,NEFT,Delhi
T00000197,C100000,A200001,2026-05-21,736.88,Debit,Investment,Groww,UPI,Delhi
T00000198,C100000,A200001,2026-03-17,21.93,Debit,Transfer,P2P Transfer,NEFT,Delhi
T00000199,C100000,A200001,2026-02-28,587.74,Debit,ATM,ATM Withdrawal,UPI,Delhi
T00000200,C100000,A200001,2026-07-25,732.01,Debit,Education,Udemy,Cash,Delhi
T00000201,C100000,A200001,2026-06-28,260.16,Debit,Entertainment,PVR,Cash,Delhi
T00000202,C100000,A200001,2026-06-30,976.82,Debit,Bills,Jio,Net Banking,Delhi
T00000203,C100000,A200001,2026-04-06,331.52,Debit,Shopping,Flipkart,Cash,Delhi
T00000204,C100000,A200001,2026-06-29,20.0,Debit,ATM,ATM Withdrawal,Credit Card,Delhi
T00000205,C100000,A200001,2026-05-19,156.55,Debit,Healthcare,1mg,Cash,Delhi
T00000206,C100000,A200001,2026-06-02,1602.03,Debit,Shopping,Myntra,Net Banking,Delhi
T00000207,C100000,A200001,2026-05-04,818.07,Debit,Transfer,P2P Transfer,Debit Card,Delhi
T00000208,C100000,A200001,2026-06-13,1087.83,Debit,Shopping,Flipkart,UPI,Delhi
T00000209,C100000,A200001,2026-06-29,762.04,Debit,ATM,ATM Withdrawal,NEFT,Delhi
T00000210,C100000,A200001,2026-03-17,196.69,Debit,Other,Misc Merchant,UPI,Delhi
T00000211,C100000,A200001,2026-08-01,19204.31,Credit,Salary,Employer,NEFT,Delhi
T00000212,C100000,A200001,2026-07-01,20019.4,Credit,Salary,Employer,NEFT,Delhi
T00000213,C100000,A200001,2026-06-01,19745.41,Credit,Salary,Employer,NEFT,Delhi
T00000214,C100000,A200001,2026-05-03,19245.28,Credit,Salary,Employer,NEFT,Delhi
T00000215,C100000,A200001,2026-04-02,19415.61,Credit,Salary,Employer,NEFT,Delhi
T00000216,C100000,A200001,2026-03-02,19479.26,Credit,Salary,Employer,NEFT,Delhi
T00000217,C100001,A200002,2026-05-04,2538.28,Debit,Bills,Electricity Board,Credit Card,Chennai
T00000218,C100001,A200002,2026-06-09,1992.72,Debit,Bills,Airtel,Net Banking,Chennai
T00000219,C100001,A200002,2026-02-19,697.64,Debit,Transfer,P2P Transfer,Cash,Chennai
T00000220,C100001,A200002,2026-03-05,78.75,Debit,Rent,Landlord Transfer,UPI,Chennai
T00000221,C100001,A200002,2026-03-25,768.44,Debit,Bills,Jio,UPI,Chennai
T00000222,C100001,A200002,2026-02-20,2811.72,Debit,Education,College Fee,Debit Card,Chennai
T00000223,C100001,A200002,2026-02-20,392.13,Debit,Bills,Water Dept,Debit Card,Chennai
T00000224,C100001,A200002,2026-07-05,2325.29,Debit,Bills,Jio,Debit Card,Chennai
T00000225,C100001,A200002,2026-04-01,267.6,Debit,Healthcare,1mg,NEFT,Chennai
T00000226,C100001,A200002,2026-04-14,1301.24,Debit,Bills,Airtel,NEFT,Chennai
T00000227,C100001,A200002,2026-05-01,928.69,Debit,Bills,Airtel,Net Banking,Chennai
T00000228,C100001,A200002,2026-05-24,1929.13,Debit,Food,Local Restaurant,Net Banking,Chennai
T00000229,C100001,A200002,2026-02-07,234.21,Debit,Education,College Fee,Cash,Chennai
T00000230,C100001,A200002,2026-07-10,225.94,Debit,Investment,Groww,NEFT,Chennai
T00000231,C100001,A200002,2026-08-01,2035.48,Debit,Transfer,P2P Transfer,NEFT,Chennai
T00000232,C100001,A200002,2026-05-29,133.89,Debit,Transfer,P2P Transfer,Net Banking,Chennai
T00000233,C100001,A200002,2026-06-04,661.01,Debit,Transfer,P2P Transfer,Cash,Chennai
T00000234,C100001,A200002,2026-02-11,4958.86,Debit,Fuel,HP Petrol Pump,Debit Card,Chennai
T00000235,C100001,A200002,2026-07-30,882.56,Debit,Bills,Water Dept,NEFT,Chennai
T00000236,C100001,A200002,2026-06-06,873.45,Debit,Bills,Airtel,NEFT,Chennai
T00000237,C100001,A200002,2026-02-24,479.22,Debit,Bills,Electricity Board,Net Banking,Chennai
T00000238,C100001,A200002,2026-07-17,20.0,Debit,Bills,Water Dept,Net Banking,Chennai
T00000239,C100001,A200002,2026-04-02,2161.96,Debit,Bills,Electricity Board,UPI,Chennai
T00000240,C100001,A200002,2026-06-18,1980.24,Debit,Bills,Electricity Board,Cash,Chennai
T00000241,C100001,A200002,2026-06-05,1457.55,Debit,Education,College Fee,Debit Card,Chennai
T00000242,C100001,A200002,2026-02-26,5223.99,Debit,Transfer,P2P Transfer,Debit Card,Chennai
T00000243,C100001,A200002,2026-04-24,1719.39,Debit,Investment,SIP Auto-debit,NEFT,Chennai
T00000244,C100001,A200002,2026-02-20,477.39,Debit,Other,Misc Merchant,Net Banking,Chennai
T00000245,C100001,A200002,2026-03-13,20.0,Debit,Fuel,Indian Oil,Net Banking,Chennai
T00000246,C100001,A200002,2026-06-18,60.66,Debit,Other,Misc Merchant,NEFT,Chennai
T00000247,C100001,A200002,2026-04-17,492.41,Debit,Other,Misc Merchant,UPI,Chennai
T00000248,C100001,A200002,2026-04-14,1550.65,Debit,Food,Zomato,NEFT,Chennai
T00000249,C100001,A200002,2026-02-27,2025.36,Debit,Bills,Water Dept,Credit Card,Chennai
T00000250,C100001,A200002,2026-02-08,2962.47,Debit,Shopping,Local Store,Credit Card,Chennai
T00000251,C100001,A200002,2026-06-22,894.12,Debit,Transfer,P2P Transfer,Cash,Chennai
T00000252,C100001,A200002,2026-06-10,147.79,Debit,Rent,Landlord Transfer,Debit Card,Chennai
T00000253,C100001,A200002,2026-07-21,151.04,Debit,Education,Coursera,Cash,Chennai
T00000254,C100001,A200002,2026-06-27,874.11,Debit,Other,Misc Merchant,NEFT,Chennai
T00000255,C100001,A200002,2026-03-24,613.06,Debit,Rent,Landlord Transfer,NEFT,Chennai
T00000256,C100001,A200002,2026-05-19,724.05,Debit,Other,Misc Merchant,Credit Card,Chennai
T00000257,C100001,A200002,2026-03-26,1904.35,Debit,Other,Misc Merchant,UPI,Chennai
T00000258,C100001,A200002,2026-04-25,718.61,Debit,Bills,Jio,Net Banking,Chennai
T00000259,C100001,A200002,2026-04-07,269.1,Debit,Other,Misc Merchant,Net Banking,Chennai
T00000260,C100001,A200002,2026-05-30,108.63,Debit,Transfer,P2P Transfer,Debit Card,Chennai
T00000261,C100001,A200002,2026-04-18,3480.86,Debit,Bills,Electricity Board,UPI,Chennai
T00000262,C100001,A200002,2026-02-22,2161.06,Debit,Investment,Groww,UPI,Chennai
T00000263,C100001,A200002,2026-05-16,2204.98,Debit,Other,Misc Merchant,NEFT,Chennai
T00000264,C100001,A200002,2026-02-06,8014.94,Debit,Bills,Jio,NEFT,Chennai
T00000265,C100001,A200002,2026-03-25,1096.41,Debit,Other,Misc Merchant,Net Banking,Chennai
T00000266,C100001,A200002,2026-06-08,320.39,Debit,Other,Misc Merchant,Debit Card,Chennai
T00000267,C100001,A200002,2026-03-28,475.1,Debit,Transfer,P2P Transfer,Credit Card,Chennai
T00000268,C100001,A200002,2026-06-17,78.61,Debit,Bills,Jio,Debit Card,Chennai
T00000269,C100001,A200002,2026-04-11,1144.21,Debit,Bills,Electricity Board,NEFT,Chennai
T00000270,C100001,A200002,2026-03-06,1468.54,Debit,Food,Local Restaurant,UPI,Chennai
T00000271,C100001,A200002,2026-06-24,1844.02,Debit,Entertainment,Netflix,Net Banking,Chennai
T00000272,C100001,A200002,2026-03-03,1573.1,Debit,Food,Swiggy,NEFT,Chennai
T00000273,C100001,A200002,2026-07-01,3828.68,Debit,Other,Misc Merchant,Net Banking,Chennai
T00000274,C100001,A200002,2026-07-29,3786.65,Debit,Fuel,HP Petrol Pump,UPI,Chennai
T00000275,C100001,A200002,2026-06-05,20.0,Debit,Education,Coursera,Net Banking,Chennai
T00000276,C100001,A200002,2026-04-27,362.43,Debit,Fuel,Indian Oil,Cash,Chennai
T00000277,C100001,A200002,2026-04-12,2053.76,Debit,Education,College Fee,Credit Card,Chennai
T00000278,C100001,A200002,2026-02-16,270.97,Debit,Other,Misc Merchant,Cash,Chennai
T00000279,C100001,A200002,2026-02-06,172.29,Debit,Investment,Groww,Credit Card,Chennai
T00000280,C100001,A200002,2026-02-07,2154.72,Debit,Bills,Water Dept,NEFT,Chennai
