loan_id,customer_id,loan_type,requested_amount,tenure_months,monthly_income,credit_score,existing_debt,employment_years,loan_status,default_probability_true,defaulted
L305909,C105909,Home Loan,1581365.3,180,15100,773,1485.86,8.8,Pending,0.0594,0
L303562,C103562,Education Loan,293575.39,24,14000,900,1307.98,13.2,Pending,0.0308,0
L308038,C108038,Education Loan,1669257.46,120,32100,631,5492.18,4.2,Pending,0.285,0
L309600,C109600,Home Loan,3485253.81,60,17400,729,4430.29,18.1,Pending,0.1151,0
L300503,C100503,Business Loan,4922101.73,120,101500,690,0.0,34.1,Pending,0.0456,0
L309544,C109544,Vehicle Loan,538003.87,24,26700,615,2076.34,10.9,Pending,0.1651,0
L306382,C106382,Personal Loan,323504.82,24,76900,690,14145.07,20.3,Approved,0.1298,1
L301928,C101928,Vehicle Loan,156871.1,84,53200,584,14030.85,3.8,Approved,0.2902,0
L304273,C104273,Business Loan,1367540.7,120,77900,594,8488.55,4.9,Approved,0.1997,0
L300961,C100961,Vehicle Loan,897235.2,60,77600,694,16329.07,10.2,Approved,0.164,0
L307007,C107007,Business Loan,2272138.69,36,17400,633,3203.49,14.0,Approved,0.2107,0
L309596,C109596,Education Loan,693968.57,120,112000,687,12754.56,10.3,Pending,0.1329,0
L305457,C105457,Vehicle Loan,1397373.68,36,76400,652,13341.83,4.3,Approved,0.1456,1
L303491,C103491,Education Loan,1676147.2,60,21700,587,3978.66,13.6,Approved,0.1436,0
L301969,C101969,Personal Loan,128866.47,120,90600,643,9467.55,2.1,Approved,0.1058,1
L302734,C102734,Education Loan,932160.79,84,77400,668,9463.45,7.8,Pending,0.1177,0
L300506,C100506,Vehicle Loan,1304328.37,12,63400,656,23606.43,7.5,Pending,0.2488,0
L301414,C101414,Vehicle Loan,566905.61,60,75800,538,23214.34,14.5,Approved,0.3018,0
L301780,C101780,Education Loan,1885465.64,180,51500,616,5626.99,1.4,Approved,0.1357,1
L302135,C102135,Vehicle Loan,1191764.07,120,85200,884,5697.07,22.4,Pending,0.0267,0
L303090,C103090,Personal Loan,390802.24,84,73500,732,10549.59,6.1,Pending,0.0998,0
L303399,C103399,Home Loan,5546003.2,24,51500,642,13429.35,27.2,Approved,0.2411,1
L306087,C106087,Vehicle Loan,1313359.97,60,22300,685,2365.35,14.0,Pending,0.0878,0
L300779,C100779,Home Loan,3355886.46,84,63400,537,11049.31,19.5,Pending,0.3616,0
L305604,C105604,Business Loan,2716756.89,24,62000,669,0.0,20.2,Approved,0.0879,0
L309781,C109781,Personal Loan,460452.35,36,65500,656,11443.44,3.0,Pending,0.1548,0
L305297,C105297,Vehicle Loan,254305.68,84,79100,759,15967.75,24.8,Approved,0.0478,0
L309627,C109627,Business Loan,1950350.83,84,104000,650,31412.44,8.3,Pending,0.2562,0
L308530,C108530,Education Loan,1097342.83,120,94300,736,8454.73,27.6,Pending,0.053,1
L307758,C107758,Education Loan,1380843.76,84,90100,716,5531.43,10.7,Pending,0.0845,0
L300861,C100861,Home Loan,6505170.53,36,92100,796,12215.46,35.8,Pending,0.0371,0
L307458,C107458,Business Loan,4777362.28,180,63900,719,20888.81,3.6,Approved,0.1806,0
L306970,C106970,Personal Loan,758480.19,120,76000,732,10007.7,1.9,Pending,0.078,0
L306147,C106147,Vehicle Loan,506459.22,84,86400,813,17959.62,26.1,Approved,0.0457,0
L305810,C105810,Vehicle Loan,1283615.6,12,40300,731,5760.8,7.9,Pending,0.1239,0
L307210,C107210,Business Loan,1089040.61,84,45300,701,0.0,15.7,Approved,0.0682,0
L302581,C102581,Education Loan,1505360.05,84,33900,745,0.0,15.8,Approved,0.0557,0
L307392,C107392,Personal Loan,721212.32,36,56500,530,11830.07,3.4,Pending,0.3672,0
L303747,C103747,Home Loan,5607733.62,120,21500,807,6329.33,24.5,Approved,0.1096,0
L304947,C104947,Personal Loan,606562.12,84,55100,576,20953.97,8.5,Approved,0.3132,0
L309559,C109559,Home Loan,4664148.95,12,65500,650,18000.9,19.5,Approved,0.2908,1
L308940,C108940,Personal Loan,269871.05,84,45700,739,13186.2,3.6,Approved,0.1758,0
L301631,C101631,Business Loan,1664390.22,180,111000,691,8036.88,31.6,Approved,0.0534,0
L308020,C108020,Personal Loan,155495.27,24,11100,600,2977.96,9.7,Approved,0.2153,1
L302573,C102573,Education Loan,1723350.64,180,62900,713,1391.68,8.4,Approved,0.1161,0
L303711,C103711,Education Loan,1001091.88,12,75000,619,12790.74,21.5,Approved,0.095,0
L306263,C106263,Education Loan,1480123.11,36,71300,760,11152.36,18.2,Approved,0.0684,0
L309829,C109829,Business Loan,4911299.84,180,16300,569,2734.65,8.2,Approved,0.2442,0
L301983,C101983,Education Loan,632762.4,24,82200,658,20781.12,21.3,Approved,0.1195,0
L308859,C108859,Education Loan,893274.9,60,11000,719,378.05,0.6,Approved,0.0718,0
L305395,C105395,Business Loan,1343189.71,120,103200,819,9195.78,0.6,Approved,0.0983,0
L302191,C102191,Vehicle Loan,617533.09,180,67200,722,16404.45,6.8,Approved,0.1399,0
L308786,C108786,Education Loan,1042119.61,120,80500,683,9415.33,7.3,Approved,0.1813,0
L305408,C105408,Personal Loan,576217.93,12,91900,835,8358.96,8.3,Approved,0.0563,0
L306699,C106699,Home Loan,7660440.93,12,44800,613,3082.0,12.5,Approved,0.3948,0
L305218,C105218,Home Loan,2280719.93,180,51200,629,3924.31,1.3,Pending,0.2453,0
L308623,C108623,Home Loan,4416373.73,84,56100,652,3772.27,28.1,Pending,0.096,0
L301736,C101736,Business Loan,3790925.22,60,56800,703,12605.8,15.1,Approved,0.1405,0
L308428,C108428,Education Loan,1081249.77,24,45700,769,1823.01,7.5,Pending,0.0524,0
L302995,C102995,Personal Loan,406288.62,180,109600,773,40846.53,12.4,Approved,0.1752,0
L307888,C107888,Vehicle Loan,177444.27,180,24600,723,6803.04,11.8,Pending,0.1136,0
L305240,C105240,Education Loan,1317553.6,24,71800,600,12733.24,7.9,Approved,0.2212,1
L307911,C107911,Vehicle Loan,627867.19,120,56000,587,4602.55,8.3,Pending,0.2378,1
L301921,C101921,Vehicle Loan,457274.16,84,99300,761,23591.08,8.7,Approved,0.1123,0
L309603,C109603,Education Loan,1731430.38,12,13800,611,1704.76,7.6,Pending,0.3743,0
L300690,C100690,Education Loan,1345226.39,36,83600,708,396.1,22.3,Pending,0.0791,0
L309233,C109233,Vehicle Loan,499843.53,36,38400,596,6462.03,2.4,Pending,0.2198,1
L307095,C107095,Home Loan,4268378.01,24,55900,659,7383.41,11.7,Pending,0.1638,0
L300160,C100160,Personal Loan,278164.84,120,37300,837,4744.49,33.8,Approved,0.0212,0
L308311,C108311,Home Loan,1097268.9,12,59700,782,0.0,0.0,Approved,0.0609,1
L307817,C107817,Education Loan,1537354.82,60,52700,891,8377.83,9.4,Approved,0.0255,0
L305998,C105998,Business Loan,3766521.86,180,64000,900,5385.87,11.7,Approved,0.052,0
L307003,C107003,Home Loan,1884029.94,180,29000,698,2028.9,18.3,Approved,0.0797,0
L307753,C107753,Personal Loan,289121.0,120,48800,713,7223.06,0.0,Approved,0.1153,0
L303817,C103817,Personal Loan,219654.9,36,54000,678,8539.75,24.2,Approved,0.0829,0
L303912,C103912,Home Loan,1732642.29,120,81600,502,145.46,3.0,Approved,0.2841,0
L304321,C104321,Education Loan,269315.8,24,63900,768,10429.24,14.0,Approved,0.0958,0
L308064,C108064,Vehicle Loan,1240264.24,60,102300,668,4293.88,11.1,Approved,0.0934,0
L302770,C102770,Personal Loan,450052.69,24,24300,888,6563.83,21.6,Approved,0.0518,0
L309995,C109995,Home Loan,2167728.81,12,17700,754,379.61,14.9,Approved,0.1096,0
L302003,C102003,Business Loan,1820638.79,12,76700,726,2289.62,6.3,Pending,0.0934,0
L302750,C102750,Home Loan,7549625.26,180,12200,656,374.43,6.4,Pending,0.1032,1
L304944,C104944,Vehicle Loan,427317.87,24,72900,725,7563.51,0.6,Pending,0.089,0
L305427,C105427,Vehicle Loan,861074.31,24,53300,757,16262.47,4.5,Pending,0.1231,0
L304049,C104049,Business Loan,3544098.14,24,94800,794,9736.64,5.0,Pending,0.1061,0
L306862,C106862,Vehicle Loan,518489.31,84,91200,612,14661.92,5.8,Pending,0.199,0
L302656,C102656,Personal Loan,607745.59,12,29500,761,4876.63,1.3,Approved,0.1087,0
L302118,C102118,Education Loan,1644994.58,36,89100,765,16383.0,15.7,Pending,0.1346,0
L305037,C105037,Personal Loan,144279.89,36,72600,756,4872.19,4.8,Approved,0.0684,0
L306317,C106317,Business Loan,1555376.36,180,20700,577,3802.6,15.3,Approved,0.1747,0
L302633,C102633,Vehicle Loan,877905.84,120,93800,621,13831.87,5.1,Pending,0.1718,0
L304544,C104544,Home Loan,1731990.72,12,52700,570,12762.9,13.7,Approved,0.4349,1
L300562,C100562,Personal Loan,135146.15,60,90800,656,0.0,17.5,Approved,0.0975,0
L306825,C106825,Education Loan,305791.35,84,36100,687,1210.63,14.1,Approved,0.0806,0
L309401,C109401,Personal Loan,402869.78,60,73500,570,8058.87,22.3,Approved,0.1213,0
L304835,C104835,Personal Loan,751767.95,12,35100,661,0.0,7.4,Approved,0.154,0
L301400,C101400,Personal Loan,118641.12,84,90300,743,6009.02,17.6,Approved,0.0408,0
L303423,C103423,Business Loan,1336380.98,36,18800,656,5803.63,7.6,Approved,0.2833,1
L305980,C105980,Personal Loan,615727.13,12,62900,761,11047.86,13.9,Approved,0.082,0
L300161,C100161,Home Loan,4368150.29,120,21100,631,5776.42,24.1,Approved,0.1927,0
L300029,C100029,Vehicle Loan,1396403.51,12,86700,739,16880.67,4.7,Pending,0.1191,0
L301671,C101671,Education Loan,106882.45,120,56000,654,0.0,5.2,Approved,0.1565,1
L308884,C108884,Business Loan,2122384.04,36,42400,666,9495.33,4.5,Approved,0.1344,0
L302444,C102444,Home Loan,7896259.1,120,68100,570,2359.18,13.4,Approved,0.1729,0
L303846,C103846,Personal Loan,288368.53,24,59800,566,5477.19,9.1,Approved,0.1827,0
L306309,C106309,Vehicle Loan,446941.8,120,82900,578,18122.94,2.4,Pending,0.2397,0
L301782,C101782,Vehicle Loan,1491570.4,120,46700,648,4130.35,0.8,Approved,0.147,0
L304688,C104688,Personal Loan,249150.11,12,13200,672,3976.8,0.0,Approved,0.3173,1
L303006,C103006,Vehicle Loan,1479886.09,12,51800,720,9082.55,6.9,Pending,0.1348,0
L308224,C108224,Home Loan,7120219.91,12,76900,652,4294.65,30.0,Approved,0.1493,0
L307602,C107602,Vehicle Loan,295530.88,60,11100,769,1945.59,4.9,Approved,0.1393,0
L302681,C102681,Personal Loan,796566.42,180,84800,533,0.0,2.9,Pending,0.2177,0
L302890,C102890,Education Loan,1767445.05,84,68000,623,1701.55,4.5,Approved,0.1551,1
L307154,C107154,Home Loan,1687694.07,180,80500,710,16868.56,11.4,Approved,0.1252,1
L304031,C104031,Education Loan,1421649.45,36,20600,725,5071.09,4.4,Approved,0.1925,0
L307269,C107269,Education Loan,403643.8,12,44800,519,13155.26,5.9,Pending,0.445,0
L302145,C102145,Personal Loan,390511.96,60,116300,674,3515.98,16.6,Approved,0.0879,0
L303142,C103142,Vehicle Loan,944539.7,180,53500,670,14312.35,9.9,Pending,0.1954,0
L300212,C100212,Vehicle Loan,524792.76,36,56300,678,7488.45,14.5,Approved,0.1147,1
L305311,C105311,Business Loan,3361788.5,60,74800,485,10767.05,28.8,Approved,0.3439,1
L306901,C106901,Education Loan,167660.75,180,117200,578,14366.41,11.0,Pending,0.1526,0
L309937,C109937,Vehicle Loan,446589.14,36,58400,655,3756.72,0.4,Approved,0.2087,0
L300397,C100397,Home Loan,3944536.85,120,72300,716,6743.11,7.0,Pending,0.0999,0
L305329,C105329,Home Loan,3531104.37,84,14800,684,4389.87,16.8,Approved,0.151,0
L302224,C102224,Vehicle Loan,1498928.27,84,109000,672,18357.25,11.5,Pending,0.1574,0
L301096,C101096,Vehicle Loan,1463046.68,60,67400,795,8824.03,18.5,Approved,0.0613,0
L300060,C100060,Business Loan,1865354.9,60,86800,723,0.0,9.9,Pending,0.0726,0
L309871,C109871,Personal Loan,449103.41,60,13500,612,0.0,3.2,Approved,0.1784,0
L300698,C100698,Business Loan,3017685.19,24,8000,792,1231.67,0.8,Pending,0.3575,1
L305097,C105097,Vehicle Loan,1489635.54,120,29800,777,5768.83,10.5,Approved,0.108,0
L305010,C105010,Business Loan,4219492.61,36,151500,715,23659.97,29.9,Pending,0.0585,0
L305351,C105351,Business Loan,698439.16,36,103100,801,7248.84,12.9,Pending,0.0484,0
L301707,C101707,Personal Loan,320078.42,180,48700,553,15866.03,21.4,Pending,0.2841,1
L305203,C105203,Business Loan,521020.94,120,86300,706,15872.81,23.4,Pending,0.1112,0
L308709,C108709,Business Loan,1705950.58,36,85900,721,16947.59,12.6,Approved,0.1201,0
L300731,C100731,Vehicle Loan,249000.03,12,17900,743,4263.15,4.9,Approved,0.1291,0
L302211,C102211,Vehicle Loan,607324.9,36,33600,821,3911.76,15.9,Approved,0.0473,0
L301512,C101512,Personal Loan,699247.47,24,49300,730,3071.4,7.3,Approved,0.0888,0
L308434,C108434,Personal Loan,221347.58,24,52700,655,17515.94,9.6,Pending,0.1255,1
L302061,C102061,Vehicle Loan,933485.64,180,56100,683,19263.84,9.8,Pending,0.201,0
L309454,C109454,Personal Loan,346575.83,36,43100,789,8419.27,5.1,Approved,0.1186,0
L308085,C108085,Business Loan,1767540.32,180,131000,727,26830.31,4.4,Approved,0.1979,0
L303785,C103785,Vehicle Loan,253893.35,120,40200,771,3382.38,6.3,Approved,0.0666,0
L306599,C106599,Vehicle Loan,977024.89,120,38400,597,4429.42,0.8,Approved,0.2236,0
L300741,C100741,Vehicle Loan,413498.42,36,75300,679,20903.71,12.2,Approved,0.1669,0
L300067,C100067,Home Loan,7430265.27,36,81900,646,17826.48,8.2,Approved,0.1964,0
L302703,C102703,Business Loan,2264495.38,24,65800,703,11442.29,22.3,Approved,0.1285,0
L309551,C109551,Vehicle Loan,1119280.83,120,60000,689,13811.7,2.2,Approved,0.2088,0
L303110,C103110,Home Loan,4960641.58,120,55100,722,3485.34,19.2,Approved,0.0692,0
L303018,C103018,Education Loan,1052255.08,36,84700,770,8664.86,21.5,Approved,0.0462,0
L306261,C106261,Vehicle Loan,1402013.27,120,16200,701,0.0,9.4,Pending,0.0993,0
L304422,C104422,Business Loan,225411.49,24,30700,678,9564.51,10.4,Approved,0.1994,0
L302166,C102166,Vehicle Loan,1114449.15,84,130200,789,21722.25,5.9,Approved,0.1156,0
L301732,C101732,Education Loan,1843984.23,24,22600,737,2914.82,7.6,Approved,0.1595,0
L305683,C105683,Personal Loan,351664.99,12,53600,627,8848.31,11.7,Pending,0.3116,1
L305271,C105271,Home Loan,4552205.41,120,17000,667,4066.55,8.8,Pending,0.2251,1
L302461,C102461,Education Loan,873555.5,24,74000,764,20058.07,2.4,Approved,0.1106,0
L304845,C104845,Education Loan,1275338.82,36,60300,656,12198.06,26.7,Approved,0.0937,0
L305018,C105018,Home Loan,6957616.54,84,91500,739,19066.0,30.2,Approved,0.0699,0
L300004,C100004,Personal Loan,361496.68,36,98100,527,6800.85,12.7,Approved,0.2402,0
L304726,C104726,Business Loan,802927.09,12,41000,637,4196.39,2.4,Approved,0.208,0
L307735,C107735,Home Loan,5244862.04,120,35400,588,7278.85,2.7,Pending,0.3386,0
L309174,C109174,Education Loan,970473.95,180,62800,676,5944.6,15.5,Approved,0.1354,0
L309398,C109398,Personal Loan,266945.56,12,91000,554,4447.37,13.4,Approved,0.2008,0
L307390,C107390,Vehicle Loan,158254.29,84,80200,644,5291.58,30.0,Pending,0.0838,0
L300483,C100483,Home Loan,4590366.28,180,88800,699,2741.33,25.0,Approved,0.0648,0
L305133,C105133,Personal Loan,385939.17,24,72200,687,7312.93,0.4,Approved,0.123,0
L308202,C108202,Personal Loan,756111.66,60,45600,824,13220.88,20.0,Approved,0.074,0
L300620,C100620,Personal Loan,226333.89,120,64300,775,0.0,9.0,Approved,0.0493,0
L304475,C104475,Vehicle Loan,1136995.64,36,34300,805,8477.97,9.5,Approved,0.067,0
L308383,C108383,Education Loan,946386.65,180,58300,574,15840.35,12.6,Pending,0.2511,0
L308249,C108249,Personal Loan,95387.57,12,55700,661,10101.31,35.9,Approved,0.078,0
L302503,C102503,Home Loan,3168750.98,12,33000,716,5154.81,2.7,Approved,0.3446,1
L305423,C105423,Home Loan,3642557.43,180,63400,758,3917.25,3.8,Approved,0.112,0
L303621,C103621,Vehicle Loan,491534.21,84,74600,723,2087.25,7.8,Approved,0.0807,0
L303835,C103835,Vehicle Loan,569228.98,84,66500,852,11337.5,13.6,Approved,0.0558,0
L300425,C100425,Home Loan,7049395.17,84,88000,663,14125.15,6.3,Approved,0.1743,0
L301064,C101064,Business Loan,1572592.59,24,80300,809,8708.87,10.3,Pending,0.0626,0
L307694,C107694,Home Loan,3388664.46,84,64500,688,9709.72,11.5,Pending,0.1341,0
L303035,C103035,Home Loan,5855487.86,36,19600,601,4957.29,11.3,Approved,0.4294,0
L304808,C104808,Personal Loan,294413.44,84,83400,531,14568.2,15.3,Approved,0.1779,1
L301396,C101396,Business Loan,4067812.12,12,55100,601,11280.53,20.8,Approved,0.3105,0
L307329,C107329,Home Loan,7412740.53,84,34500,578,1452.47,4.0,Approved,0.2507,1
L304384,C104384,Personal Loan,374389.64,84,84500,712,21339.43,7.6,Approved,0.1556,0
L309533,C109533,Vehicle Loan,1045105.51,180,69700,748,517.39,12.1,Approved,0.0768,0
L305527,C105527,Home Loan,3074707.73,120,114700,694,2179.56,11.5,Approved,0.0855,0
L303573,C103573,Vehicle Loan,541848.2,60,46600,558,4872.17,4.1,Pending,0.1911,0
L308767,C108767,Personal Loan,273154.91,60,96100,633,2187.8,16.2,Approved,0.0912,0
L306233,C106233,Education Loan,1745353.35,12,47700,770,10508.34,1.5,Approved,0.1721,0
L301801,C101801,Vehicle Loan,1354968.36,180,109400,587,20355.04,7.7,Approved,0.2401,0
L302038,C102038,Personal Loan,395607.6,60,25500,634,3660.92,23.3,Pending,0.0812,0
L301916,C101916,Home Loan,3533500.64,180,70600,764,0.0,9.6,Pending,0.052,0
L301607,C101607,Education Loan,1384957.72,180,58400,801,12948.45,22.4,Pending,0.0457,0
L306517,C106517,Vehicle Loan,1216441.75,60,72900,626,16538.84,15.7,Pending,0.2266,0
L301155,C101155,Business Loan,4584030.81,120,69400,599,9322.94,8.9,Pending,0.2372,1
L304575,C104575,Vehicle Loan,1065553.2,120,105000,885,23839.67,19.9,Approved,0.032,0
L306917,C106917,Education Loan,1579822.87,84,49600,740,5586.15,0.0,Approved,0.1039,0
L303422,C103422,Education Loan,1160827.61,180,117700,699,36148.38,22.5,Pending,0.1275,0
L308215,C108215,Vehicle Loan,925729.99,120,73600,684,5243.5,25.9,Pending,0.0736,0
L300551,C100551,Business Loan,3213439.78,36,35700,659,3829.95,11.6,Pending,0.1596,0
L301127,C101127,Personal Loan,793265.13,120,63100,598,10334.39,8.8,Approved,0.2565,1
L302802,C102802,Personal Loan,64917.52,24,63100,745,8954.17,9.4,Approved,0.1038,0
L306002,C106002,Home Loan,6696648.75,84,19900,723,4843.5,17.9,Approved,0.171,0
L300330,C100330,Home Loan,2581664.43,84,47100,765,5659.75,19.8,Approved,0.0379,0
L308086,C108086,Vehicle Loan,1346892.69,36,76700,697,29908.64,13.6,Pending,0.1764,1
L302158,C102158,Business Loan,4470569.17,60,77300,807,14146.91,27.3,Approved,0.0544,0
L309707,C109707,Home Loan,7904742.73,120,38700,651,4274.11,2.7,Approved,0.2423,0
L306343,C106343,Home Loan,3923421.13,120,94100,651,14557.47,6.9,Pending,0.1757,0
L306690,C106690,Education Loan,1157725.48,120,63500,609,17685.91,9.0,Pending,0.2567,0
L308685,C108685,Home Loan,2420283.84,12,53600,717,14127.56,10.0,Approved,0.2177,1
L301795,C101795,Education Loan,787654.79,120,51100,715,11422.16,3.6,Pending,0.1422,0
L300462,C100462,Education Loan,976537.92,120,107100,669,35851.49,27.3,Approved,0.1144,0
L309944,C109944,Home Loan,2247389.44,36,16900,668,378.0,2.0,Pending,0.2466,0
L308253,C108253,Personal Loan,603231.73,24,57700,745,2422.0,9.8,Approved,0.0609,0
L301082,C101082,Home Loan,6072569.12,12,95300,576,17354.12,22.6,Approved,0.2686,0
L303210,C103210,Vehicle Loan,584156.0,36,91200,563,17234.83,8.6,Approved,0.2813,0
L309915,C109915,Home Loan,1117240.99,120,81800,613,20415.2,2.9,Approved,0.262,1
L307681,C107681,Business Loan,1002397.01,12,51000,626,7669.89,26.6,Pending,0.2105,0
L303998,C103998,Personal Loan,224804.05,36,49600,801,8293.02,12.3,Approved,0.0635,0
L307397,C107397,Business Loan,3033490.18,24,86200,627,4202.22,0.5,Approved,0.2083,1
L305438,C105438,Education Loan,1122382.44,180,14000,759,1833.37,7.5,Pending,0.0693,0
L302075,C102075,Personal Loan,618589.18,120,102700,624,34128.79,10.1,Pending,0.2954,0
L305107,C105107,Personal Loan,713697.79,24,23200,672,3215.92,23.7,Approved,0.1094,0
L300002,C100002,Personal Loan,511214.64,60,60500,673,1283.45,19.2,Pending,0.0689,0
L305387,C105387,Home Loan,4215498.95,12,110400,855,37617.15,15.0,Approved,0.102,0
L304304,C104304,Vehicle Loan,895979.79,120,67000,833,1325.4,11.6,Approved,0.0369,0
L305767,C105767,Education Loan,1747190.6,60,42400,667,11881.18,6.7,Approved,0.1839,0
L300206,C100206,Vehicle Loan,290795.66,36,69500,661,14378.83,27.2,Approved,0.0837,0
L308036,C108036,Education Loan,1226885.07,120,24200,687,3615.99,28.1,Approved,0.0524,0
L308365,C108365,Home Loan,2479060.27,84,76700,847,11247.84,22.4,Approved,0.0482,0
L301135,C101135,Vehicle Loan,250845.72,84,38600,782,2706.58,1.1,Approved,0.1196,0
L301902,C101902,Business Loan,4193901.31,180,139900,764,1489.95,13.7,Approved,0.037,0
L308936,C108936,Home Loan,6088768.31,120,23800,683,3851.53,20.7,Pending,0.1462,0
L300686,C100686,Education Loan,1968668.16,12,88900,812,8092.68,8.3,Approved,0.0705,0
L305623,C105623,Vehicle Loan,223551.79,24,39100,814,0.0,30.5,Pending,0.0366,1
L304251,C104251,Business Loan,1954935.13,60,58300,589,9350.7,6.0,Approved,0.2308,0
L309625,C109625,Home Loan,7772750.43,180,82100,591,12506.18,6.0,Pending,0.2077,1
L307767,C107767,Vehicle Loan,1336481.92,120,74900,770,11685.08,5.2,Approved,0.0795,0
L308331,C108331,Education Loan,875116.55,120,75500,601,11614.38,2.2,Approved,0.2572,0
L306342,C106342,Vehicle Loan,1019990.14,180,79800,713,16845.82,13.9,Approved,0.1255,0
L309488,C109488,Home Loan,3251003.51,84,59900,709,11801.16,20.1,Approved,0.1087,0
L307676,C107676,Education Loan,700414.87,84,46700,699,9194.05,18.6,Approved,0.114,0
L300545,C100545,Business Loan,482566.64,12,10700,675,3356.46,1.5,Pending,0.2539,1
L303038,C103038,Business Loan,3269534.71,60,58900,783,5559.04,6.1,Approved,0.0559,0
L306902,C106902,Home Loan,3517323.42,60,82800,810,22473.97,12.3,Approved,0.0929,0
L300544,C100544,Home Loan,3359662.62,120,91000,673,18298.38,31.0,Approved,0.0652,0
L300341,C100341,Personal Loan,73813.83,12,77600,695,4278.85,7.5,Approved,0.1098,0
L307119,C107119,Vehicle Loan,1264357.48,120,86400,700,5502.82,17.6,Approved,0.1183,0
L301165,C101165,Business Loan,4066665.16,84,56700,678,10768.16,1.0,Approved,0.2254,1
L304782,C104782,Education Loan,938976.28,84,105700,686,4556.67,9.0,Pending,0.08,0
L301320,C101320,Business Loan,1504183.09,60,48700,545,4128.65,1.4,Pending,0.2871,1
L308230,C108230,Business Loan,2417554.14,12,61100,586,10977.73,4.7,Approved,0.3276,0
L304739,C104739,Education Loan,1654263.39,36,121900,645,25062.92,15.6,Approved,0.2413,0
L305244,C105244,Personal Loan,629063.8,180,76700,812,13225.68,8.6,Pending,0.0625,0
L301057,C101057,Education Loan,846785.54,120,72000,678,3726.51,11.9,Approved,0.0997,0
L304163,C104163,Home Loan,3888982.64,120,87300,801,16817.91,5.6,Approved,0.0735,0
L309262,C109262,Business Loan,560894.05,24,41300,682,2732.17,4.4,Approved,0.1039,0
L300834,C100834,Business Loan,3758533.41,84,56400,664,0.0,9.8,Approved,0.1171,0
L300517,C100517,Education Loan,189674.62,180,60900,795,4994.1,0.9,Pending,0.0696,0
