account_id,customer_id,account_type,balance,interest_rate,status
A200054,C100038,Savings,32470.32,3.37,Active
A200055,C100038,Savings,51987.86,6.45,Active
A200056,C100039,Current,262495.48,4.07,Active
A200057,C100039,Salary,57285.05,6.09,Dormant
A200058,C100040,Savings,85088.2,3.72,Dormant
A200059,C100040,Salary,143245.04,4.47,Active
A200060,C100041,Salary,144900.62,4.46,Dormant
A200061,C100042,Savings,198707.55,3.92,Dormant
A200062,C100043,Current,246456.92,5.98,Active
A200063,C100043,Savings,80794.51,4.59,Active
A200064,C100044,Salary,155368.9,4.05,Active
A200065,C100044,Premium,118510.43,6.34,Active
A200066,C100045,Current,133728.84,4.69,Dormant
A200067,C100046,Current,263048.59,5.09,Active
A200068,C100047,Salary,132870.32,4.66,Active
A200069,C100048,Savings,118080.59,3.19,Active
A200070,C100048,Savings,45699.77,4.91,Active
A200071,C100049,Savings,249164.28,3.35,Active
A200072,C100050,Premium,267346.85,3.09,Active
A200073,C100051,Premium,72070.48,4.49,Active
A200074,C100052,Savings,32857.83,6.44,Active
A200075,C100053,Salary,115928.56,4.53,Dormant
A200076,C100054,Savings,257041.51,3.42,Active
A200077,C100055,Savings,65569.81,4.74,Dormant
A200078,C100056,Savings,37010.35,3.33,Dormant
A200079,C100056,Current,103218.12,3.7,Active
A200080,C100057,Salary,141558.27,4.83,Active
A200081,C100058,Savings,305077.62,2.95,Active
A200082,C100059,Savings,94476.48,4.84,Active
A200083,C100060,Savings,334656.99,4.85,Active
A200084,C100061,Salary,77873.83,6.13,Dormant
A200085,C100062,Savings,170420.32,4.55,Dormant
A200086,C100063,Savings,167382.59,5.34,Active
A200087,C100064,Savings,24165.59,4.14,Dormant
A200088,C100064,Savings,45408.25,5.58,Active
A200089,C100065,Savings,149518.23,5.77,Active
A200090,C100066,Savings,135840.78,5.57,Active
A200091,C100067,Salary,265489.51,4.49,Active
A200092,C100068,Savings,203672.82,3.03,Active
A200093,C100069,Savings,21392.75,5.17,Active
A200094,C100070,Savings,132764.77,5.37,Active
A200095,C100070,Savings,87716.32,4.06,Active
A200096,C100071,Salary,273302.65,6.46,Active
A200097,C100072,Savings,189210.47,2.74,Active
A200098,C100073,Savings,160901.31,6.14,Active
A200099,C100073,Premium,59857.91,6.03,Active
A200100,C100074,Salary,67588.88,3.31,Active
A200101,C100074,Premium,41938.73,3.18,Dormant
A200102,C100075,Premium,296645.63,3.81,Active
A200103,C100076,Salary,251483.12,3.1,Dormant
A200104,C100077,Savings,133489.68,5.8,Active
A200105,C100078,Salary,10975.81,3.93,Active
A200106,C100079,Savings,277570.46,3.65,Active
A200107,C100080,Current,42728.51,4.23,Active
A200108,C100081,Current,81312.78,2.85,Active
A200109,C100081,Premium,125991.89,5.65,Active
A200110,C100082,Salary,196788.9,3.13,Active
A200111,C100083,Savings,213063.22,4.0,Dormant
A200112,C100083,Savings,180123.01,3.26,Active
A200113,C100084,Salary,61557.46,3.62,Active
A200114,C100085,Savings,194099.33,3.01,Active
A200115,C100086,Savings,109764.37,3.04,Dormant
A200116,C100087,Salary,278598.52,6.0,Active
A200117,C100087,Premium,170792.58,2.67,Active
A200118,C100088,Salary,51630.46,5.67,Dormant
A200119,C100089,Premium,121704.75,5.93,Active
A200120,C100090,Savings,370973.58,3.49,Active
A200121,C100091,Savings,53169.92,4.94,Active
A200122,C100092,Salary,119632.62,2.97,Dormant
A200123,C100093,Savings,292917.91,3.66,Active
A200124,C100094,Salary,142295.29,4.07,Dormant
A200125,C100094,Savings,115603.62,4.86,Active
A200126,C100095,Savings,83190.1,5.39,Active
A200127,C100096,Salary,215186.57,4.6,Active
A200128,C100096,Premium,96432.41,2.74,Active
A200129,C100097,Savings,122381.02,6.23,Active
A200130,C100097,Savings,203574.19,3.03,Active
A200131,C100098,Salary,58666.85,3.83,Dormant
A200132,C100099,Savings,9471.41,3.19,Active
A200133,C100100,Savings,15668.82,5.61,Active
A200134,C100101,Savings,178254.79,3.87,Active
A200135,C100101,Savings,93446.28,2.62,Active
A200136,C100102,Savings,123190.38,3.17,Dormant
A200137,C100103,Salary,121416.97,2.61,Active
A200138,C100104,Savings,112797.25,6.19,Dormant
A200139,C100104,Savings,89366.38,3.33,Active
A200140,C100105,Savings,138442.24,4.85,Dormant
A200141,C100106,Savings,229996.44,5.23,Active
A200142,C100107,Current,65601.33,6.44,Active
A200143,C100107,Premium,81528.94,2.52,Active
A200144,C100108,Savings,50221.15,3.92,Dormant
A200145,C100108,Current,30074.34,4.05,Active
A200146,C100109,Savings,144023.12,4.84,Active
A200147,C100110,Savings,35725.38,5.25,Active
A200148,C100111,Savings,117976.72,2.74,Dormant
A200149,C100112,Savings,71619.43,5.94,Active
A200150,C100113,Salary,65068.33,5.03,Active
A200151,C100114,Savings,68331.25,4.05,Dormant
A200152,C100115,Savings,41244.81,3.72,Active
A200153,C100116,Salary,110646.62,4.99,Dormant
A200154,C100116,Savings,132451.88,6.27,Dormant
A200155,C100117,Savings,105826.89,4.61,Active
A200156,C100117,Savings,171326.03,6.24,Dormant
A200157,C100118,Savings,137217.95,4.06,Dormant
A200158,C100118,Savings,257496.98,4.76,Active
A200159,C100119,Savings,13337.2,5.56,Active
A200160,C100120,Premium,125475.18,3.45,Dormant
A200161,C100120,Savings,104547.16,4.43,Active
A200162,C100121,Salary,169430.58,4.37,Dormant
A200163,C100122,Savings,65120.35,3.4,Active
A200164,C100123,Savings,132990.98,2.96,Active
A200165,C100123,Savings,221196.42,3.54,Active
A200166,C100124,Savings,3535.24,6.4,Dormant
A200167,C100125,Savings,243997.34,2.69,Active
A200168,C100126,Savings,50939.15,6.41,Active
A200169,C100127,Salary,76460.5,2.7,Dormant
A200170,C100127,Savings,245855.22,5.11,Active
A200171,C100128,Savings,49567.01,2.89,Active
A200172,C100128,Savings,57941.49,3.52,Active
A200173,C100129,Salary,61495.2,5.99,Active
A200174,C100130,Savings,245520.37,4.98,Dormant
A200175,C100130,Savings,161679.83,2.58,Active
A200176,C100131,Salary,134174.89,6.39,Active
A200177,C100132,Savings,99489.11,2.88,Active
A200178,C100133,Savings,38809.4,5.91,Active
A200179,C100134,Premium,11254.0,6.06,Active
A200180,C100135,Salary,132592.64,4.68,Active
A200181,C100136,Savings,108808.8,5.73,Dormant
A200182,C100137,Salary,135826.18,3.37,Active
A200183,C100138,Savings,378644.89,2.97,Active
A200184,C100139,Salary,42192.97,2.54,Active
A200185,C100140,Savings,262271.97,4.58,Active
A200186,C100141,Savings,36631.86,3.18,Active
A200187,C100142,Salary,154334.24,4.75,Active
A200188,C100142,Premium,63422.38,5.02,Active
A200189,C100143,Savings,53160.65,5.06,Dormant
A200190,C100143,Current,37982.9,5.44,Active
A200191,C100144,Salary,198828.02,2.54,Active
A200192,C100145,Savings,211047.12,5.92,Dormant
A200193,C100146,Savings,28875.67,5.14,Active
A200194,C100147,Savings,307718.88,6.14,Active
A200195,C100148,Savings,22747.71,2.72,Active
A200196,C100149,Salary,72795.18,2.86,Active
A200197,C100150,Savings,189641.74,4.87,Active
A200198,C100151,Current,150994.09,4.07,Active
A200199,C100151,Premium,132863.29,5.36,Active
A200200,C100152,Savings,246127.33,4.73,Active
A200201,C100152,Savings,328355.88,5.23,Active
A200202,C100153,Savings,228644.85,5.91,Active
A200203,C100154,Savings,135437.56,5.3,Active
A200204,C100155,Salary,81144.62,2.64,Dormant
A200205,C100156,Savings,151145.5,4.0,Active
A200206,C100156,Salary,36801.11,5.08,Active
A200207,C100157,Savings,35976.5,4.11,Active
A200208,C100158,Savings,313512.9,5.28,Active
A200209,C100159,Salary,179381.12,6.11,Active
A200210,C100160,Savings,129300.76,6.05,Active
A200211,C100160,Savings,100122.07,5.54,Active
A200212,C100161,Savings,64712.71,4.73,Active
A200213,C100161,Savings,47270.95,6.26,Active
A200214,C100162,Savings,57266.25,5.69,Active
A200215,C100163,Savings,323060.92,4.68,Active
A200216,C100164,Premium,239711.12,6.38,Active
A200217,C100165,Salary,337714.12,3.67,Active
A200218,C100166,Premium,55824.07,3.29,Active
A200219,C100167,Salary,7609.26,2.91,Active
A200220,C100167,Salary,191150.69,4.97,Active
A200221,C100168,Savings,154380.4,2.84,Active
A200222,C100168,Premium,226935.79,3.86,Active
A200223,C100169,Savings,163361.54,2.67,Dormant
A200224,C100170,Savings,61019.39,5.22,Dormant
A200225,C100171,Premium,91293.66,4.24,Active
A200226,C100171,Savings,63027.93,6.32,Active
A200227,C100172,Salary,91291.82,4.03,Dormant
A200228,C100172,Premium,131190.09,5.02,Active
A200229,C100173,Savings,149239.6,2.52,Active
A200230,C100173,Savings,80193.52,4.14,Dormant
A200231,C100174,Savings,21132.97,6.35,Active
A200232,C100174,Savings,263611.49,6.42,Dormant
A200233,C100175,Salary,0.0,5.56,Active
A200234,C100176,Premium,192824.77,4.46,Active
A200235,C100177,Savings,124850.61,6.45,Active
A200236,C100178,Savings,33498.93,5.06,Active
A200237,C100179,Salary,146047.49,2.86,Active
A200238,C100180,Savings,344390.07,2.53,Active
A200239,C100181,Savings,11508.74,6.4,Active
A200240,C100182,Salary,169964.09,3.72,Active
A200241,C100183,Current,220180.39,6.15,Active
A200242,C100184,Premium,366068.49,3.78,Active
A200243,C100185,Savings,35008.37,6.27,Dormant
A200244,C100186,Savings,110582.18,4.75,Active
A200245,C100186,Premium,138301.42,3.72,Dormant
A200246,C100187,Premium,175255.78,4.24,Active
A200247,C100188,Savings,25244.0,2.55,Active
A200248,C100189,Savings,47077.71,5.4,Active
A200249,C100190,Premium,138187.49,4.31,Active
A200250,C100191,Salary,375882.1,5.56,Dormant
A200251,C100192,Savings,144611.9,4.06,Active
A200252,C100192,Salary,63364.8,4.49,Active
A200253,C100193,Premium,544451.75,3.31,Active
A200254,C100194,Savings,27804.64,3.9,Active
A200255,C100195,Salary,208925.82,3.75,Dormant
A200256,C100196,Current,208106.56,4.68,Active
A200257,C100197,Salary,168280.56,6.31,Active
A200258,C100198,Salary,176256.05,4.14,Dormant
A200259,C100199,Savings,159174.35,4.03,Active
A200260,C100200,Premium,178994.09,5.73,Active
A200261,C100200,Savings,120282.78,3.19,Active
A200262,C100201,Salary,250601.19,3.03,Active
A200263,C100202,Salary,166264.68,5.66,Active
A200264,C100202,Savings,247995.82,4.68,Dormant
A200265,C100203,Premium,23955.41,3.04,Active
A200266,C100204,Savings,215303.96,3.8,Active
A200267,C100205,Savings,167815.2,3.79,Active
A200268,C100206,Salary,258674.27,5.85,Active
A200269,C100207,Savings,32957.06,4.86,Active
A200270,C100207,Salary,55909.17,6.15,Active
A200271,C100208,Savings,150858.22,5.17,Dormant
A200272,C100208,Premium,171044.73,4.23,Active
A200273,C100209,Salary,33012.92,5.29,Active
A200274,C100209,Salary,214880.42,5.43,Active
A200275,C100210,Savings,80574.33,6.13,Active
A200276,C100211,Savings,102635.64,4.71,Active
A200277,C100212,Premium,68425.93,5.23,Dormant
A200278,C100212,Savings,237026.97,4.62,Active
A200279,C100213,Savings,45216.14,6.3,Active
A200280,C100213,Savings,49533.57,5.15,Active
A200281,C100214,Savings,55003.72,6.45,Dormant
A200282,C100214,Premium,237504.08,3.47,Active
A200283,C100215,Savings,96849.66,4.63,Active
A200284,C100216,Salary,49214.66,2.89,Dormant
A200285,C100216,Current,170268.1,3.37,Active
A200286,C100217,Salary,143636.09,3.25,Dormant
A200287,C100218,Current,215013.72,2.98,Active
A200288,C100218,Salary,57141.04,4.0,Active
A200289,C100219,Salary,246651.79,4.52,Active
A200290,C100219,Savings,329714.03,3.58,Dormant
A200291,C100220,Salary,51720.63,2.81,Active
A200292,C100221,Savings,136033.89,4.18,Dormant
A200293,C100222,Savings,188335.0,4.97,Active
A200294,C100223,Savings,143511.13,3.13,Active
A200295,C100224,Savings,157156.76,5.41,Active
A200296,C100224,Salary,54219.28,2.53,Active
A200297,C100225,Salary,98647.67,6.23,Dormant
A200298,C100225,Savings,63166.96,6.23,Active
A200299,C100226,Savings,285848.79,3.49,Active
A200300,C100227,Savings,23836.15,3.3,Active
A200301,C100228,Savings,298571.82,5.68,Active
A200302,C100228,Savings,146739.62,3.13,Active
A200303,C100229,Salary,209283.35,5.79,Active
A200304,C100230,Current,25826.19,6.37,Active
A200305,C100231,Savings,11384.68,2.65,Active
A200306,C100232,Savings,166860.18,4.77,Active
A200307,C100233,Premium,83055.71,3.66,Active
A200308,C100234,Savings,248681.32,6.38,Dormant
A200309,C100235,Savings,335855.21,2.92,Dormant
A200310,C100236,Savings,193469.55,2.63,Active
A200311,C100236,Savings,190277.06,6.18,Active
A200312,C100237,Salary,62154.54,3.51,Active
A200313,C100238,Savings,48261.71,5.81,Dormant
A200314,C100239,Savings,164563.29,2.82,Active
A200315,C100239,Savings,198272.43,3.07,Active
A200316,C100240,Savings,85967.01,3.32,Dormant
A200317,C100240,Current,68665.57,4.42,Dormant
A200318,C100241,Salary,33064.91,5.96,Active
A200319,C100241,Savings,115707.9,6.08,Active
A200320,C100242,Savings,143924.75,4.08,Active
A200321,C100243,Savings,110000.46,6.44,Active
A200322,C100243,Premium,263392.87,4.53,Active
A200323,C100244,Savings,98653.33,3.6,Active
A200324,C100245,Current,42907.49,3.09,Active
A200325,C100246,Current,111271.71,5.2,Active
A200326,C100247,Savings,61705.59,4.53,Active
A200327,C100248,Premium,49274.57,3.87,Active
A200328,C100248,Current,107207.23,6.12,Active
A200329,C100249,Salary,129827.61,5.29,Active
A200330,C100250,Savings,134045.21,6.27,Active
A200331,C100251,Savings,193926.78,6.46,Active
A200332,C100252,Premium,226394.94,5.67,Active
A200333,C100253,Salary,159299.99,4.62,Active
A200334,C100254,Salary,191009.59,4.11,Dormant
A200335,C100255,Savings,825.51,4.24,Active
A200336,C100256,Premium,266942.65,5.1,Active
A200337,C100257,Salary,184020.24,2.87,Active
A200338,C100258,Savings,135664.69,3.39,Active
A200339,C100259,Savings,100069.45,3.37,Active
A200340,C100260,Savings,392405.75,4.21,Active
A200341,C100260,Savings,390226.77,2.62,Dormant
A200342,C100261,Savings,204122.5,3.62,Active
A200343,C100262,Savings,100046.55,2.74,Active
A200344,C100263,Premium,91860.43,4.51,Active
A200345,C100264,Salary,18951.82,4.4,Active
A200346,C100265,Savings,19819.24,3.03,Dormant
A200347,C100266,Savings,19724.82,5.01,Dormant
A200348,C100267,Current,17314.88,5.03,Active
A200349,C100268,Savings,45679.95,5.63,Dormant
A200350,C100268,Savings,29356.05,4.75,Active
A200351,C100269,Savings,53111.02,4.7,Active
A200352,C100270,Current,25970.41,6.37,Active
A200353,C100270,Salary,110616.46,4.43,Active
A200354,C100271,Savings,17064.66,2.97,Active
A200355,C100272,Salary,104336.22,6.28,Dormant
A200356,C100273,Salary,58309.19,5.29,Active
A200357,C100274,Salary,320215.03,4.56,Active
A200358,C100275,Savings,97972.98,4.76,Active
A200359,C100276,Savings,190493.87,4.13,Active
A200360,C100276,Salary,25194.05,4.35,Active
A200361,C100277,Salary,232301.04,3.06,Dormant
A200362,C100277,Savings,266706.99,3.32,Active
A200363,C100278,Savings,77687.84,5.01,Active
A200364,C100278,Salary,31006.61,5.57,Active
A200365,C100279,Savings,94456.7,4.24,Dormant
A200366,C100280,Savings,244308.3,3.85,Dormant
A200367,C100281,Savings,198694.99,5.62,Active
A200368,C100282,Savings,80109.79,6.46,Active
A200369,C100283,Salary,197217.95,4.95,Active
A200370,C100284,Salary,269614.74,3.29,Active
A200371,C100285,Salary,329298.08,2.58,Dormant
A200372,C100286,Savings,24816.79,3.2,Active
A200373,C100286,Current,63890.07,6.19,Dormant
A200374,C100287,Savings,22048.07,3.23,Dormant
A200375,C100288,Salary,93935.28,5.3,Dormant
A200376,C100288,Current,226774.82,3.82,Active
A200377,C100289,Savings,218818.44,3.26,Active
A200378,C100290,Salary,181357.99,3.15,Active
A200379,C100291,Salary,164090.07,3.59,Active
A200380,C100291,Savings,190986.51,5.44,Active
A200381,C100292,Salary,83729.69,6.32,Active
A200382,C100293,Savings,274191.02,3.5,Active
A200383,C100294,Salary,92409.64,6.17,Active
A200384,C100295,Salary,141798.72,5.67,Active
A200385,C100296,Savings,173627.54,4.94,Dormant
A200386,C100297,Savings,159193.33,5.0,Active
A200387,C100298,Savings,220936.59,6.14,Active
A200388,C100299,Salary,102526.6,3.49,Active
A200389,C100299,Premium,63773.55,3.25,Active
A200390,C100300,Savings,21117.76,5.39,Active
A200391,C100301,Savings,13413.14,3.99,Active
A200392,C100302,Current,70781.84,3.95,Dormant
A200393,C100303,Savings,42156.24,4.61,Active
A200394,C100304,Savings,120443.7,5.24,Active
A200395,C100304,Savings,36745.9,6.34,Active
A200396,C100305,Savings,120642.03,5.51,Dormant
A200397,C100305,Savings,45452.03,4.52,Active
A200398,C100306,Current,18166.92,5.0,Dormant
A200399,C100307,Salary,120720.3,5.43,Dormant
A200400,C100308,Salary,7001.58,4.71,Active
A200401,C100308,Savings,129975.37,6.5,Active
A200402,C100309,Salary,122782.52,4.28,Active
A200403,C100309,Savings,33269.87,3.51,Active
A200404,C100310,Savings,222672.2,2.6,Dormant
A200405,C100311,Salary,65324.47,3.32,Active
A200406,C100311,Savings,208125.53,5.39,Active
A200407,C100312,Savings,165544.65,3.56,Active
A200408,C100313,Salary,157921.5,5.61,Active
A200409,C100314,Savings,168945.25,3.06,Dormant
A200410,C100315,Savings,147394.98,3.61,Dormant
A200411,C100316,Savings,204944.61,4.39,Active
A200412,C100317,Savings,68081.74,2.87,Active
A200413,C100318,Savings,208911.17,2.8,Active
A200414,C100319,Salary,65480.24,5.51,Active
A200415,C100320,Premium,122195.44,4.38,Active
A200416,C100321,Savings,63140.49,5.71,Active
A200417,C100322,Savings,3947.13,2.91,Active
A200418,C100323,Salary,161144.32,2.6,Active
A200419,C100324,Savings,57665.82,5.23,Active
A200420,C100324,Savings,62187.55,5.56,Active
A200421,C100325,Savings,225633.07,6.03,Active
A200422,C100326,Salary,41511.07,4.05,Active
A200423,C100326,Salary,128322.09,6.16,Active
A200424,C100327,Savings,25487.89,2.65,Active
A200425,C100328,Savings,43791.63,4.65,Active
A200426,C100328,Savings,96911.31,4.2,Dormant
A200427,C100329,Salary,206323.8,4.37,Dormant
A200428,C100329,Savings,126629.22,2.54,Active
A200429,C100330,Savings,32087.42,6.45,Active
A200430,C100331,Savings,63007.2,5.44,Active
A200431,C100332,Savings,93578.53,4.45,Active
A200432,C100333,Premium,92236.93,4.53,Active
A200433,C100334,Premium,24357.18,5.01,Dormant
A200434,C100335,Savings,24129.66,4.1,Active
A200435,C100336,Current,305302.37,4.69,Active
A200436,C100337,Savings,374675.32,5.76,Active
A200437,C100338,Savings,52879.63,4.65,Dormant
A200438,C100339,Savings,179587.63,2.79,Dormant
A200439,C100340,Savings,137888.25,3.33,Active
A200440,C100341,Savings,288470.82,2.96,Active
A200441,C100341,Premium,304158.18,3.74,Active
A200442,C100342,Salary,19343.9,4.64,Active
A200443,C100343,Premium,73330.62,5.3,Dormant
A200444,C100343,Savings,104109.56,5.44,Active
A200445,C100344,Current,350961.4,4.64,Active
A200446,C100345,Savings,107983.9,3.28,Dormant
A200447,C100345,Savings,52950.06,2.74,Dormant
A200448,C100346,Savings,227616.93,4.6,Active
A200449,C100346,Salary,297575.79,3.64,Active
A200450,C100347,Savings,72816.09,3.16,Active
A200451,C100348,Savings,398218.48,5.6,Active
A200452,C100348,Savings,90702.71,6.36,Dormant
A200453,C100349,Salary,0.0,5.69,Active
A200454,C100350,Savings,28101.5,2.72,Dormant
A200455,C100351,Savings,7087.0,4.51,Dormant
A200456,C100352,Current,124577.69,6.44,Active
A200457,C100353,Premium,176244.05,5.94,Active
A200458,C100354,Current,114823.82,3.1,Active
A200459,C100354,Savings,85651.18,5.65,Dormant
A200460,C100355,Savings,80575.61,2.94,Active
A200461,C100356,Savings,281986.75,2.61,Active
A200462,C100357,Premium,50139.48,5.24,Active
A200463,C100357,Savings,82502.07,5.32,Active
A200464,C100358,Savings,61756.14,3.35,Dormant
A200465,C100359,Savings,41287.79,4.33,Active
A200466,C100360,Savings,234168.33,5.06,Dormant
A200467,C100360,Premium,226779.35,5.12,Active
A200468,C100361,Savings,125630.15,5.04,Active
A200469,C100362,Salary,249984.81,2.76,Dormant
A200470,C100362,Savings,228861.15,6.25,Active
A200471,C100363,Premium,64866.73,4.47,Active
A200472,C100364,Premium,0.0,3.49,Active
A200473,C100364,Savings,44703.14,2.54,Dormant
A200474,C100365,Savings,70584.04,4.31,Active
A200475,C100366,Savings,64409.88,3.32,Dormant
A200476,C100367,Salary,46760.71,5.73,Active
A200477,C100368,Savings,158859.41,4.58,Dormant
A200478,C100369,Premium,43274.9,2.71,Active
A200479,C100369,Savings,117782.77,3.76,Active
A200480,C100370,Current,160240.28,2.56,Dormant
A200481,C100371,Savings,29138.35,5.11,Active
A200482,C100372,Current,332961.26,4.36,Active
A200483,C100373,Salary,179255.07,2.74,Dormant
A200484,C100374,Savings,59259.5,3.99,Active
A200485,C100375,Current,95308.49,4.9,Active
A200486,C100376,Savings,136626.48,3.11,Active
A200487,C100377,Savings,229849.12,2.64,Dormant
A200488,C100378,Premium,209273.32,3.19,Dormant
A200489,C100379,Savings,131384.22,3.77,Dormant
A200490,C100380,Savings,152609.78,3.64,Dormant
A200491,C100380,Savings,72640.28,6.1,Dormant
A200492,C100381,Salary,192751.4,5.76,Active
A200493,C100382,Savings,141107.42,3.17,Active
A200494,C100382,Savings,164568.9,5.99,Active
A200495,C100383,Current,184808.07,3.05,Active
A200496,C100384,Salary,82938.38,5.89,Active
A200497,C100385,Savings,994.15,2.67,Active
A200498,C100386,Salary,144403.03,6.47,Active
A200499,C100387,Premium,108875.81,4.29,Dormant
A200500,C100387,Savings,117588.31,4.28,Active
A200501,C100388,Current,201036.88,4.77,Active
A200502,C100388,Savings,86857.46,4.66,Active
A200503,C100389,Savings,28737.74,5.49,Active
A200504,C100390,Savings,292503.18,3.08,Active
A200505,C100391,Salary,54683.68,3.61,Active
A200506,C100392,Salary,79294.19,5.62,Active
A200507,C100392,Salary,74218.28,4.69,Active
A200508,C100393,Salary,86017.97,5.05,Active
A200509,C100393,Premium,43296.77,5.72,Active
A200510,C100394,Salary,61576.58,3.51,Dormant
A200511,C100395,Savings,358325.68,4.78,Active
A200512,C100396,Premium,121389.9,2.63,Dormant
A200513,C100396,Current,44434.16,2.86,Dormant
A200514,C100397,Savings,190917.02,3.44,Active
A200515,C100397,Salary,122839.34,2.51,Dormant
A200516,C100398,Current,95017.68,2.76,Active
A200517,C100399,Salary,212192.86,2.51,Active
A200518,C100400,Savings,24501.91,5.92,Active
A200519,C100401,Salary,189998.05,4.46,Dormant
A200520,C100402,Savings,54963.69,4.01,Dormant
A200521,C100402,Savings,24018.29,3.93,Active
A200522,C100403,Salary,72117.4,5.14,Active
A200523,C100404,Current,87751.98,4.73,Active
A200524,C100405,Savings,238767.43,4.45,Dormant
A200525,C100405,Savings,377704.39,5.94,Active
A200526,C100406,Salary,194064.03,5.04,Active
A200527,C100406,Savings,198087.58,3.41,Dormant
A200528,C100407,Savings,133248.61,4.25,Active
A200529,C100407,Salary,156438.56,3.5,Active
A200530,C100408,Salary,101421.5,4.82,Active
A200531,C100408,Savings,42779.35,5.26,Dormant
A200532,C100409,Savings,30353.48,6.11,Dormant
A200533,C100410,Savings,128681.36,2.58,Active
A200534,C100410,Savings,182144.98,3.12,Active
A200535,C100411,Salary,184901.72,4.38,Dormant
A200536,C100411,Premium,96039.7,3.5,Active
A200537,C100412,Savings,117030.65,3.89,Active
A200538,C100413,Savings,179150.49,5.45,Active
A200539,C100414,Savings,191567.97,2.59,Active
A200540,C100415,Current,50238.94,4.01,Active
A200541,C100416,Premium,257074.46,3.59,Active
A200542,C100417,Savings,209730.24,2.77,Active
A200543,C100417,Salary,122866.08,3.23,Dormant
A200544,C100418,Salary,42833.1,5.17,Dormant
A200545,C100418,Savings,83334.04,4.66,Active
A200546,C100419,Savings,157357.24,6.03,Active
A200547,C100419,Salary,79026.27,4.88,Active
A200548,C100420,Savings,98809.04,3.79,Active
A200549,C100420,Salary,327095.04,4.78,Active
A200550,C100421,Savings,99609.04,5.69,Active
A200551,C100421,Salary,114869.3,3.9,Active
A200552,C100422,Salary,195777.86,4.27,Active
A200553,C100422,Salary,189691.06,5.69,Dormant
A200554,C100423,Salary,81307.07,4.09,Active
A200555,C100424,Premium,14338.46,4.54,Active
A200556,C100425,Savings,280755.41,4.73,Active
A200557,C100426,Savings,93959.34,5.0,Active
A200558,C100427,Salary,235611.62,5.67,Active
A200559,C100428,Savings,32683.28,2.95,Active
A200560,C100428,Savings,29455.65,3.02,Dormant
A200561,C100429,Salary,245680.13,4.36,Active
A200562,C100430,Salary,95833.51,4.94,Dormant
A200563,C100431,Savings,115357.14,4.8,Active
A200564,C100432,Salary,106147.28,4.53,Active
A200565,C100433,Salary,253008.79,6.29,Dormant
A200566,C100433,Savings,113204.13,5.3,Active
A200567,C100434,Savings,245613.44,4.9,Dormant
A200568,C100435,Savings,184404.05,5.08,Active
A200569,C100435,Salary,357115.13,5.21,Active
A200570,C100436,Current,17646.82,2.8,Active
A200571,C100437,Current,217213.32,5.3,Active
